,No 1,No 2,tie,win,loss
0,2.0,2.0,0.011822782488188143,64.03290050714139,35.955276710369944
1,2.0,3.0,0.027417199218774467,39.84405184365732,60.12853095712285
2,2.0,4.0,0.027417199218774467,40.26358395006287,59.70899885071753
3,2.0,5.0,0.027417199218774467,40.69641933696661,59.2761634638158
4,2.0,6.0,0.027417324857727122,40.92700704300737,59.04557563213711
5,2.0,7.0,0.02741719921877439,41.095072408869406,58.87751039191141
6,2.0,8.0,0.027417324857727087,41.654908674616046,58.31767400052691
7,2.0,9.0,0.027417324857727087,42.336369728427044,57.636212946717215
8,2.0,10.0,0.027417324857727087,43.238093455592576,56.73448921954871
9,2.0,11.0,0.027417324857727087,44.53954844104157,55.433034234101285
10,2.0,12.0,0.027417324857727087,46.56481420668847,53.40776846845465
11,2.0,13.0,0.027417324857727087,49.889933163216845,50.08264951192264
12,2.0,14.0,0.027417324857727122,55.72267092865421,44.24991174648826
14,3.0,3.0,0.011822782488188143,66.39460481209846,33.59357240541397
15,3.0,4.0,0.027417199218774398,41.006913267661865,58.965669533117655
16,3.0,5.0,0.027417199218774398,41.43974865456209,58.53283414621619
17,3.0,6.0,0.02741732485772716,41.6703363606047,58.302246314541065
18,3.0,7.0,0.02741719921877443,41.838401726466095,58.13418107431237
19,3.0,8.0,0.027417324857727087,42.07444078102037,57.89814189412189
20,3.0,9.0,0.027417324857727087,42.75590183483083,57.216680840310815
21,3.0,10.0,0.027417324857727087,43.65762556199694,56.314957113142555
22,3.0,11.0,0.027417324857727087,44.95908054744686,55.013502127693606
23,3.0,12.0,0.027417324857727087,46.984346313094804,52.9882363620481
24,3.0,13.0,0.027417324857727087,50.30946526962651,49.66311740551675
25,3.0,14.0,0.027417324857727122,56.142203035058955,43.830379640082285
28,4.0,4.0,0.011822782488188143,68.75630911705396,31.23186810045842
29,4.0,5.0,0.02741719921877431,42.18141199965109,57.791170801130264
30,4.0,6.0,0.02741732485772709,42.411999705692864,57.56058296945104
31,4.0,7.0,0.027417199218774467,42.58006507155481,57.39251772922603
32,4.0,8.0,0.027417324857727122,42.81610412610906,57.15647854903467
33,4.0,9.0,0.027417324857727087,43.17543394123849,56.79714873390513
34,4.0,10.0,0.027417324857727087,44.077157668404496,55.89542500673623
35,4.0,11.0,0.027417324857727087,45.37861265385374,54.5939700212903
36,4.0,12.0,0.027417324857727087,47.403878419500316,52.56870425564133
37,4.0,13.0,0.027417324857727087,50.72899737602901,49.24358529911193
38,4.0,14.0,0.027417324857727122,56.56173514146632,43.410847533676275
42,5.0,5.0,0.011822782488188143,71.11965527184189,28.868521945669674
43,5.0,6.0,0.027417324857727004,43.15759391668784,56.814988758457574
44,5.0,7.0,0.027417199218774398,43.32565928255063,56.646923518228576
45,5.0,8.0,0.02741732485772716,43.56169833710565,56.41088433803777
46,5.0,9.0,0.027417324857727122,43.92102815223609,56.05155452290633
47,5.0,10.0,0.027417324857727087,44.50484964786651,55.4677330272755
48,5.0,11.0,0.027417324857727087,45.80630463331329,54.16627804182995
49,5.0,12.0,0.027417324857727087,47.83157039895918,52.141012276181236
50,5.0,13.0,0.027417324857727087,51.156689355491544,48.81589331965181
51,5.0,14.0,0.027417324857727122,56.98942712092518,42.98315555421475
56,6.0,6.0,0.011822782488188143,73.4862851262952,26.50189209121649
57,6.0,7.0,0.027417324857727004,44.078858796267035,55.89372387887687
58,6.0,8.0,0.02741732485772709,44.31489797645876,55.65768469868439
59,6.0,9.0,0.02741732485772716,44.674227791588166,55.29835488355565
60,6.0,10.0,0.027417324857727122,45.25804928721995,54.71453338792353
61,6.0,11.0,0.027417324857727087,46.25031635888159,53.722266316260296
62,6.0,12.0,0.027417324857727087,48.27558212453115,51.697000550612714
63,6.0,13.0,0.027417324857727087,51.60070108105896,48.37188159408195
64,6.0,14.0,0.027417324857727087,57.209728137724596,42.762854537419415
70,7.0,7.0,0.011822782488188143,75.8578405302454,24.130336687265032
71,7.0,8.0,0.027417324857727004,45.08151698669922,54.891065688441856
72,7.0,9.0,0.02741732485772709,45.4408468018284,54.53173587331286
73,7.0,10.0,0.02741732485772716,46.02466829745953,53.94791437768101
74,7.0,11.0,0.027417324857727122,47.016935369122294,52.9556473060185
75,7.0,12.0,0.027417324857727087,48.74890403571077,51.22367863942992
76,7.0,13.0,0.027417324857727087,52.07402299224146,47.89855968290165
77,7.0,14.0,0.027417324857727087,57.683050048905294,42.28953262623908
84,8.0,8.0,0.011822782488188143,78.23596333352809,21.752213883983693
85,8.0,9.0,0.027417324857727004,46.232772009902966,53.73981066524187
86,8.0,10.0,0.02741732485772709,46.81659350553521,53.155989169608915
87,8.0,11.0,0.02741732485772716,47.8088605771971,52.16372209794646
88,8.0,12.0,0.027417324857727122,49.54082924378374,50.43175343135959
89,8.0,13.0,0.027417324857727087,52.59930666143866,47.373276013702274
90,8.0,14.0,0.027417324857727087,58.20833371810218,41.76424895704061
98,9.0,9.0,0.011822782488188143,80.62229538597224,19.365881831539635
99,9.0,10.0,0.027417324857727004,47.65815301002666,52.31442966511398
100,9.0,11.0,0.02741732485772709,48.65042008169138,51.32216259345113
101,9.0,12.0,0.02741732485772716,50.382388748279475,49.59019392686411
102,9.0,13.0,0.027417324857727122,53.4408661659338,46.531716509208024
103,9.0,14.0,0.027417324857727087,58.82528545170084,41.14729722344223
112,10.0,10.0,0.011822782488188143,83.01847853741282,16.969698680099906
113,10.0,11.0,0.027417324857727004,49.58987770932542,50.38270496581671
114,10.0,12.0,0.02741732485772709,51.321846375911996,48.650736299228555
115,10.0,13.0,0.02741732485772716,54.380323793567484,45.59225888157476
116,10.0,14.0,0.027417324857727122,59.76474307933473,40.20783959580872
126,11.0,11.0,0.011822782488188143,85.42615463767882,14.562022579832522
127,11.0,12.0,0.02741732485772709,52.379759549031725,47.592823126111675
128,11.0,13.0,0.02741732485772716,55.438236966684975,44.5343457084558
129,11.0,14.0,0.027417324857727122,60.822656252453356,39.149926422688644
140,12.0,12.0,0.011822782488188143,87.8469655366069,12.141211680904723
141,12.0,13.0,0.02741732485772716,56.97547078485993,42.99711189028263
142,12.0,14.0,0.027417324857727122,62.3598900706281,37.61269260451351
154,13.0,13.0,0.011822782488188143,90.28255308402856,9.705624133483825
155,13.0,14.0,0.027417324857727122,64.69927269180711,35.273309983333476
168,14.0,14.0,0.011822782488188143,92.73455912977441,7.2536180877373955
